French,English
hizo,those
mwisho,last
bora,better
kila kitu,everything
aliiambia,told
Bwana.,mr.
mpya,new
mambo,things
kila mara,always
Weka,keep
ndefu,long
miaka,years
kuondoka,leave
hufanya,does
pesa,money
karibu,around
haifanyi hivyo,doesn
yam,name
mahali,place
milele,ever
kuhisi,feel
wavulana,guys
baba,father
kijana,guy
kufanywa,made
mzee,old
sivyo,isn
ambayo,which
kubwa,big
kura,lot
imetolewa,done
Habari,hello
nzuri,nice
amini,believe
msichana,girl
mtu,someone
vizuri,fine
asante,thanks
SE basi,wanted
aina,kind
kuja,coming
nyumba,house
kila,every
sawa,ok
kupitia,through
kuwa,being
kozi,course
kukaa,stay
kushoto,left
baba,dad
kutosha,enough
kilichotokea,happened
alikuja,came
huenda,may
mama,mother
vibaya,wrong
dunia,world
mbaya,bad
nguvu,might
tatu,three
leo,today
sikiliza,listen
mwingine,another
kuelewa,understand
sikia,hear
kumbuka,remember
uliza,ask
binafsi,own
sawa,same
Onyesha,show
mwingine,else
kuua,kill
kuzungumza,talking
kupatikana,found
ijayo,next
kupata,getting
kujali,care
gari,car
kuangalia,looking
ni,son
jaribu,try
mwanamke,woman
akaenda,went
habari,hi
wafu,dead
nyingi,many
akili,mind
haikuwa hivyo,wasn
rafiki,friend
bora zaidi,best
mama,mom
kuzimu,hell
asubuhi,morning
kujaribu,trying
kijana,boy
pamoja,together
mwenyewe,yourself
kazi,job
saw,saw
Familia,family
halisi,real
bila,without
mtoto,baby
chumba,room
singefanya,wouldn
tayari,already
hoja,move
wengi,most
kuonekana,seen
kuishi,live
miss,miss
kweli,actually
aha,huh
uchafu,shit
zote mbili,both
kusikia,heard
kumi na moja,once
tayari,ready
kichwa,head
kuitwa,called
kutumika,used
wazo,idea
alijua,knew
shika,hold
furaha,happy
mlango,door
vile,such
jamani,fuck
kaka,brother
pia,also
nzuri,pretty
kidogo,bit
alichukua,took
bandari,haven
bado,yet
menyu,men
mzima,whole
kuanza,start
kutumia,use
wakati,while
tangu,since
mke,wife
siku,days
Nadhani,guess
kesho,tomorrow
mambo,matter
kukutana,meet
kuleta,bring
usiku wa leo,tonight
kila mtu,everyone
kukimbia,run
unataka,wanna
ngumu,hard
oh,ah
peke yake,alone
Mimi mwenyewe,myself
shule,school
wamekwenda,gone
um,um
mwisho,end
akisema,saying
simu,phone
kucheza,play
inaonekana,looks
haikuweza,couldn
kutania,fucking
tatizo,problem
wachache,few
marafiki,friends
lazima,gotta
Aug,ago
wazi,open
yeyote,anyone
kuuawa,killed
matumaini,hope
uso,face
mpaka,until
potea,lost
polisi,police
udhuru,excuse
kugeuka,turn
biashara,business
kesi,case
anataka,wants
anasema,says
KWELI,TRUE
kufa,die
moyo,heart
hivi karibuni,soon
kila mmoja,each
wasiwasi,worry
baadae,later
mwaka,year
kuangalia,watch
muziki,music
mikono,hand
kuwa na,having
pengine,probably
mrembo,beautiful
daktari,doctor
kukaa,sit
kula,eat
kufikiri,thinking
vijana,young
pili,second
kufanya kazi,working
choo,water
mtu,person
sehemu,part
watoto,kids
mapigo,late
mambo,stuff
hasa,exactly
chini,under
kifo,death
dakika,minute
kulipa,pay
kichaa,crazy
kusahau,forget
kila mtu,everybody
mtoto,kid
mabadiliko,change
alitoa,gave
kutokea,happen
jamani,damn
tano,five
kunywa,drink
mbali,far
anajua,knows
yake,its
Vyovyote,whatever
macho,eyes
funga,shut
mchanga,aren
piga,hit
kuchukua,taking
rahisi,easy
nyakati,times
angalia,check
mikono,hands
dakika,minutes
mpango,deal
tofauti,different
maana yake,means
hatua,point
ndani,inside
hufanya,makes
aliuliza,asked
mtu,somebody
yangu,mine
kutengeneza,making
suti ya mwili,body
hofu,afraid
kulala,sleep
nafasi,chance
mpendwa,dear
ondoa,quite
nne,four
de todas forms,anyway
karibu,close
si,ain
chama,party
furaha,fun
dhidi ya,against
maneno,word
unakula,comes
muhimu,important
kuweka,set
itakuwa,shall
hadithi,story
nambari,number
binti,daughter
angalau,least
kusubiri,waiting
kuumiza,hurt
tamani,wish
dakika,moment
kupigana,fight
wiki,week
mume,husband
wasichana,girls
pumzika,rest
ndoa,married
moto,fire
michezo,game
hakuna mtu,nobody
Bwana,mr
watoto,children
upande,side
kusimama,stand
soma,read
ingawa,though
kata,cut
ilianza,started
dada,sister
kudhaniwa,supposed
kati,between
mtoto,child
huenda,goes
masaa,hours
zungumza,speak
wanawake,women
nyuma,behind
karibu,almost
ukweli,truth
damu,blood
uwezo,able
mwanamke,lady
tena,anymore
kucheza,playing
anapata,gets
risasi,shot
sababu,reason
shida,trouble
mapumziko,break
vita,war
mji,city
tembea,walk
mji,town
uaminifu,trust
Dk.,dr.
alikutana,met
ofisi,office
maswali,question
kuletwa,brought
wako,yours
karibu,welcome
juu,high
wow,wow
wanandoa,couple
nusu,half
alikufa,died
baridi,cool
bure,free
ama,either
inaonekana,seems
nguvu,power
nani,whoa
kwaheri,bye
kununua,buy
kuwaambia,telling
asali,honey
alijaribu,tried
mbele,front
timu,team
jibu,answer
bunduki,gun
wavulana,boys
mstari,line
tuma,send
habari,news
mjinga,stupid
kitanda,bed
Harakisha,hurry
kamili,full
miezi,months
kuokoa,save
Mara nyingine,sometimes
kuwa,become
pamoja,along
chuki,hate
chakula,food
nje,outside
Mwanga,light
l,l
mahitaji,needs
mbwa,dog
nchi,country
wazi,clear
agizo,order
em,em
ukweli,fact
bwana,lord
nahodha,captain
sita,six
moto,hot
kuchekesha,funny
nyeusi,black
Bi.,mrs.
hai,alive
chagua,pick
hisia,feeling
sebuleni,living
sababu,cause
mbele,ahead
Najua,lose
mfalme,king
mpango,plan
chajio,dinner
anapumua,sighs
aina,sort
kuondoka,leaving
haipaswi,shouldn
Kimbia,running
bosi,boss
sawa,alright
ahadi,promise
kuchukuliwa,taken
salama,safe
ma,ma
kitabu,book
imetumwa,sent
nyeupe,white
saa,hour
mtu yeyote,anybody
ndogo,small
kamili,perfect
sababu,cause
maisha,lives
Maalum,special
wazazi,parents
ndio,s
john,john
mwenyewe,himself
labda,perhaps
sauti,sounds
serious,serious
mgonjwa,sick
kampuni,company
ha,ha
hofu,scared
mjomba,uncle
maskini,poor
gridi ya taifa,red
zilizopita,past
ardhi,earth
inawezekana,possible
risasi,shoot
kugusa,touch
sauti,sound
juu,top
punda,ass
anacheka,laughs
haiwezi,cannot
kuuliza,asking
kushinda,win
furahi,glad
kudhibiti,control
hmm,hmm
binadamu,human
endesha,drive
nywele,hair
Jack,jack
mbwa mwitu,bitch
bahati,luck
mauaji,murder
hutokea,happens
hewa,air
kuwa na,ten
baba,daddy
hatimaye,finally
anacheka,chuckles
haraka,fast
baridi,cold
inaonekana,seem
Kucheka,laughing
maneno,words
hospitali,hospital
mtaani,street
hang,hang
ngoma,dance
mkutano,meeting
mpaka,till
wengine,others
kukamata,catch
kufuata,follow
maana,sense
ngono,sex
uongo,lie
jioni,evening
bwana,master
inayojulikana,known
ndoto,dream
andika,write
milioni,million
sauti,voice
tamu,sweet
badala yake,rather
waliona,felt
ishara,sign
bahati,lucky
mahali fulani,somewhere
dau,bet
ama,o
Yesu,jesus
tena,longer
wito,calling
ilifanya kazi,worked
kimya,quiet
inaonekana,looked
kidogo,less
vuta,pull
piga,beat
makini,careful
kahawa,coffee
kurudi,return
siri,secret
wiki,weeks
walikuwa,weren
tarehe,date
kuona,seeing
kushindwa,fall
kupewa,given
oh,ooh
kosa,fault
moja kwa moja,straight
inachukua,takes
wimbo,song
baadaye,future
waungwana,gentlemen
kupendwa,loved
iliyopita,changed
barabara,road
utulivu,calm
ajabu,wonderful
wazimu,mad
akageuka,turned
kushuka,drop
wanawake,ladies
jifunze,learn
hatua,step
kabisa,absolutely
mapema,early
kueleza,explain
safi,clean
kipande,piece
jana,yesterday
kutupa,throw
picha,picture
ardhi,land
miguu,feet
ajabu,wonder
maswali,questions
akizungumza,speaking
thamani,worth
mpenzi,darling
kusita,dude
kutoa,giving
rais,president
macho,eye
haraka,quick
kusonga,moving
takwimu,figure
jimbo,state
nguvu,strong
sam,sam
hakuna,none
ajabu,amazing
wale,ones
kazi,works
kitendo,act
inahitajika,needed
ajabu,weird
sheria,law
wasiwasi,worried
ripoti,report
kwaheri,goodbye
kukosa,missing
chaguo,choice
kutokea,happening
mkuu,chief
harusi,wedding
ajabu,strange
jumla,general
maumivu,pain
A.M,am
kutania,kidding
kuamua,decided
tayari,ya
kupita,pass
uchovu,tired
darasa,class
afisa,officer
kuhifadhiwa,kept
Amka,wake
mbaya zaidi,worse
busy,busy
Habari,eh
kosa,mistake
busu,kiss
mahakama,court
jengo,building
kumaliza,finish
wakati,during
umri,age
meli,ship
kukamatwa,caught
kuoa,marry
maana,meant
kuuza,sell
giza,dark
kuangalia,watching
mfumo,system
tuseme,suppose
ushahidi,evidence
filamu,movie
panda,ride
t,t
kabisa,completely
mdomo,mouth
kabisa,totally
siku ya kuzaliwa,birthday
TV,tv
Nisamehe,forgive
kuzaliwa,born
fikiria,imagine
habari,information
badala yake,instead
hakika,definitely
usalama,security
hakika,certainly
filamu,film
mwezi,month
uongo,lying
isipokuwa,unless
treni,train
saba,seven
kuvaa,wear
nguo,clothes
Mikaeli,michael
hoteli,hotel
Krismasi,christmas
mashambulizi,attack
ina,hasn
pande zote,round
tarajia,expect
imba,sing
ya kutisha,terrible
George,george
mfuko,bag
historia,history
bluu,blue
karibu,near
kuvunja,broke
kituo,station
kwa umakini,seriously
milele,forever
Daudi,david
mkweli,frank
isipokuwa,except
anadhani,thinks
ujumbe,message
nzima,entire
Joe,joe
meza,table
alizungumza,talked
hela,across
mwamba,rock
kupendeza,lovely
mpini,handle
katikati,middle
rafiki,buddy
kulipwa,paid
kulinda,protect
kutumia,using
sakafu,floor
mbio,ran
kiapo,swear
tumia,spend
hali,situation
pete,ring
popote,anywhere
hatari,dangerous
Bill,bill
york,york
jeshi,army
kuongoza,lead
kununuliwa,bought
kumaliza,finished
haki,fair
jua,sun
barua,letter
mjinga,fool
umakini,attention
klabu,club
rahisi,simple
kuvutia,interesting
nafasi,space
mtihani,test
masanduku,box
kikundi,group
single,single
ameketi,sitting
ndoa,marriage
kujiunga,join
hofu,fear
d,d
amani,peace
sahau,forgot
nguvu,force
kaptura,short
kawaida,normal
Charlie,charlie
sasa,present
kufurahia,enjoy
mike,mike
uhalifu,crime
farasi,horse
ardhi,ground
mmarekani,american
hesabu,count
eneo,area
malipo,charge
heshima,honor
chakula cha mchana,lunch
Maelfu,miles
redio,radio
mjinga,idiot
mpira,ball
mshangao,surprise
karatasi,paper
ufunguo,key
mashua,boat
haraka,quickly
dhahabu,gold
bar,bar
samaki,fish
alama,mark
Tom,tom
amevaa,wearing
kulia,crying
ajali,accident
serikali,government
nane,eight
ilianguka,fell
kifuniko,cover
fulani,certain
nia,interested
kina,deep
nyota,star
kuwa,sea
kubali,agree
matatizo,problems
mpelelezi,detective
jela,prison
mkuu,major
fimbo,stick
kutoa,offer
magumu,difficult
mwerevu,smart
wafanyakazi,personal
rekodi,record
kusimamishwa,stopped
kujificha,hide
kama,whether
Benki,bank
safari,trip
pumzika,relax
Marekani,america
umma,public
orodha,list
mchana,afternoon
ubongo,brain
kurekebisha,fix
mwanaharamu,bastard
fahari,proud
mwenge,tea
huduma,service
kupiga kelele,screaming
mbele,forward
hasira,angry
Hifadhi,park
nafsi,soul
kupigana,fighting
peter,peter
tajiri,rich
wakala,agent
pigo,blow
Paulo,paul
nguo,dress
Mariamu,mary
amekosa,missed
eneo,scene
kuua,killing
msimamo,standing
kuokolewa,saved
mm,mm
heshima,respect
muuaji,killer
barafu,ice
fujo,mess
kali,tough
anahisi,feels
kanisa,church
huzuni,sad
seli,cell
mlevi,drunk
Kulinganisha,share
kamera,camera
mm-hmm,mm-hmm
ndani,within
kadi,card
kuruka,fly
ben,ben
rafiki wa kike,girlfriend
Cheka,laugh
harufu,smell
kuvunjwa,broken
mama,mum
mwaminifu,honest
mara nyingi,often
kuanzia,starting
simu,calls
na,y
zilizotumika,spent
cha tatu,third
kiingereza,english
tembelea,visit
mama,mama
Hakimu,judge
dirisha,window
njaa,hungry
Nitatoa,dare
uhusiano,relationship
imehamishwa,moved
thibitisha,prove
Privat,private
ukuta,wall
kiti,seat
i-i,i-i
nafasi,position
Luteni,lieutenant
kutambua,realize
lt,lt
hasa,especially
mashine,machine
kutembea,walking
sanaa,art
furaha,pleasure
damu,bloody
chuo,college
Kifaransa,french
husika,involved
kulia,cry
ikawa,became
aliishi,lived
haiwezekani,impossible
dhahiri,obviously
wala,neither
kukubali,accept
mpenzi,boyfriend
badala yake,besides
nini katika,queen
mwalimu,teacher
polisi,cops
kwa ajili ya,sake
Unaiona,loves
kubeba,carry
fundisha,teach
ghorofa,apartment
kasirika,upset
kijani,green
ya,la
alipenda,liked
mzuri,cute
uovu,evil
mwalimu,professor
mawasiliano,contact
mzaha,joke
polisi,cop
kubwa,huge
takatifu,holy
duka,store
jela,jail
anapenda,likes
Mwanasheria,lawyer
shaka,doubt
endelea,continue
thamini,appreciate
paka,cat
Duka,shop
kuendesha gari,driving
hongera,congratulations
aliandika,wrote
kijiji,village
acha,quit
mashamba,field
James,james
mvinyo,wine
uamuzi,decision
kusini,south
kulala,sleeping
polepole,slow
kicheko,laughter
kisiwa,island
kioo,glass
mwanzo,beginning
fedha taslimu,cash
kufa,dying
mia,hundred
ambaye,whose
tofauti,difference
mpango,plane
sukuma,push
inaendelea,continues
Hmm,mmm
kuimba,singing
kula,eating
kaskazini,north
Bi,mrs
mti,tree
bibie,madam
zawadi,gift
malori,truck
kuweka,putting
dubu,bear
mbao,board
kunyakua,grab
bia,beer
kukwama,stuck
uchawi,magic
msaada,support
kanuni,rules
miguno,grunts
mshirika,partner
kufikia,reach
upepo,wind
kanali,colonel
max,max
mara moja,immediately
sekunde,seconds
elfu,thousand
anatoa,gives
uzoefu,experience
cheers,cheers
mwathirika,victim
juu ya,upon
kompyuta,computer
kristo,christ
sayari,planet
aliahidi,promised
basi,bus
Henry,henry
chafu,dirty
tafuta,search
kukaa,staying
ndoto,dreams
kukamatwa,arrest
kampuni inayoshikilia,holding
ghafla,suddenly
kawaida,usually
kura,lots
viatu,shoes
er,er
kuruka,jump
ondoa,rid
I,yo
kubisha,knock
deni,owe
Harry,harry
kukua,grow
mbaya zaidi,worst
Mto,river
shangazi,aunt
mgonjwa,patient
jikoni,kitchen
aah,aah
mafuta,fat
kupita,passed
m,m
mwisho,final
majira ya joto,summer
Bob,bob
kusikiliza,listening
kutolea nje,escape
kila mahali,everywhere
mwezi,moon
silaha,arms
zamu,turns
anwani,address
wewe,ow
mechi,match
miguno,gasps
kuu,grand
ndio,yep
shh,shh
neva,nervous
ya,de
kuchagua,choose
wenyewe,themselves
huamua,decide
mwenzio,mate
kunywa,drinking
vyombo vya habari,press
sumbua,bother
mguu,foot
hakuwa na,hadn
lawama,blame
uchafu,crap
madawa,drugs
aina,type
pete,rings
utume,mission
jina,named
mbinguni,heaven
ii,ii
ilichukua,picked
Paris,paris
mbio,race
hatari,risk
vitabu,books
zaidi,further
danny,danny
kitendo,action
ruhusiwa,allowed
maagizo,orders
kujifunza,learned
bei,price
imefika,arrived
nick,nick
vinginevyo,otherwise
picha,pictures
inafaa,fit
moshi,smoke
upendeleo,favor
alicheza,played
taarifa,notice
kushangaza,awesome
tabasamu,smile
mkurugenzi,director
mlinzi,guard
kuanza,begin
doa,spot
kushangaa,surprised
wasio na hatia,innocent
msimulizi,narrator
mwenyewe,herself
london,london
hisia,feelings
adui,enemy
vita,battle
sisi wenyewe,ourselves
Alex,alex
dola,dollars
kuruhusu,allow
tisa,nine
shoga,gay
idara,department
hatia,guilty
kando,apart
mapema,earlier
wajibu,duty
jim,jim
suti,suit
kengele,bell
magharibi,west
miguu,legs
shujaa,hero
kuharibu,destroy
jukwaa,stage
kundi,bunch
kulingana na,according
kuku,chicken
kubwa zaidi,bigger
kunung'unika,grunting
chini,low
kusaidia,helping
kubali,admit
imefungwa,closed
majina,names
shahidi,witness
juu,upstairs
mkono,arm
kuiba,steal
Jimmy,jimmy
teke,kick
mara mbili,twice
msalaba,cross
njia,ways
sajenti,sergeant
kweli,indeed
gesi,gas
kutunza,keeping
nishati,energy
mimba,pregnant
upotevu,waste
kusaidiwa,helped
kufukuzwa kazi,fired
favorite,favorite
Tony,tony
ladha,taste
imefungwa,locked
maeneo,places
kuandika,writing
Adamu,adam
ndugu,brothers
huanza,starts
mkuu,prince
fomu,form
kuuzwa,sold
mjinga,silly
kutaja,mention
kujenga,build
koo,throat
shimo,hole
kufikiri,figured
wimbo,track
kupigia,ringing
kufuli,lock
mguu,leg
juu,above
kujificha,hiding
steve,steve
ilionekana,seemed
kifungua kinywa,breakfast
injini,engine
iliyoandikwa,written
kamili,complete
video,video
makofi,applause
hata hivyo,however
shinikizo,pressure
safi,fresh
silaha,weapon
anga,sky
ms.,ms.
aliiba,stole
soma,study
choma,burn
kusoma,reading
umati wa watu,crowd
kutibu,treat
roll,roll
mara mbili,double
roho,spirit
hatari,danger
gharama,cost
tupu,empty
kiwango,level
kumbukumbu,memory
yenyewe,itself
kuigiza,acting
hamu,interest
Sijui,nose
mipango,plans
kufuata,following
bafuni,bathroom
kujengwa,built
karibu zaidi,closer
ray,ray
sarah,sarah
bendi,band
anaugulia,groans
inaonekana,apparently
msisimko,excited
Richard,richard
kupoteza,losing
wanyama,animals
ndege,flight
asili,nature
kuinua,raise
